trial_name,epoch,accuracy,loss,val_accuracy,val_loss
"LR=0.001, Opt=Adam, DR=0.4",13,0.7937,0.4582,0.782,0.4764
"LR=0.001, Opt=Adam, DR=0.4",14,0.7891,0.4621,0.774,0.4821
"LR=0.001, Opt=Adam, DR=0.4",15,0.7956,0.4516,0.8015,0.4431
"LR=0.001, Opt=Adam, DR=0.4",16,0.7975,0.4503,0.78,0.4637
"LR=0.001, Opt=Adam, DR=0.4",17,0.788,0.4582,0.7795,0.4676
"LR=0.001, Opt=Adam, DR=0.4",18,0.8056,0.4326,0.7945,0.4441
"LR=0.001, Opt=Adam, DR=0.4",19,0.7962,0.4418,0.76,0.4908
"LR=0.001, Opt=Adam, DR=0.4",20,0.8058,0.4311,0.8025,0.4477
"LR=0.001, Opt=Adam, DR=0.4",21,0.8019,0.4321,0.7755,0.4746
"LR=0.001, Opt=Adam, DR=0.4",22,0.8054,0.4256,0.7915,0.4593
"LR=0.001, Opt=Adam, DR=0.4",23,0.802,0.4318,0.789,0.4492
"LR=0.001, Opt=Adam, DR=0.4",24,0.8166,0.4193,0.7895,0.4811
"LR=0.001, Opt=Adam, DR=0.4",25,0.8159,0.4126,0.8075,0.4376
"LR=0.001, Opt=Adam, DR=0.4",26,0.8154,0.4156,0.7845,0.4923
"LR=0.001, Opt=Adam, DR=0.4",27,0.8165,0.4076,0.7995,0.442
"LR=0.001, Opt=Adam, DR=0.4",28,0.8158,0.4023,0.798,0.4532
"LR=0.001, Opt=Adam, DR=0.4",29,0.8251,0.3989,0.7895,0.457
"LR=0.001, Opt=Adam, DR=0.4",30,0.8254,0.3966,0.7955,0.4499
"LR=0.001, Opt=Adam, DR=0.4",31,0.8282,0.3915,0.786,0.5006
"LR=0.001, Opt=Adam, DR=0.4",32,0.8281,0.3904,0.797,0.4715
"LR=0.001, Opt=Adam, DR=0.4",33,0.8274,0.3841,0.7715,0.4845
"LR=0.001, Opt=Adam, DR=0.4",34,0.8389,0.37,0.7875,0.4843
"LR=0.001, Opt=Adam, DR=0.4",35,0.8342,0.378,0.7975,0.451
"LR=0.001, Opt=Adam, DR=0.4",36,0.837,0.377,0.7955,0.4615
"LR=0.001, Opt=Adam, DR=0.4",37,0.8351,0.3771,0.7985,0.4673
"LR=0.001, Opt=Adam, DR=0.4",38,0.843,0.3679,0.792,0.4749
"LR=0.001, Opt=Adam, DR=0.4",39,0.8365,0.366,0.799,0.4758
"LR=0.001, Opt=Adam, DR=0.4",40,0.8445,0.3615,0.789,0.4751
"LR=0.001, Opt=Adam, DR=0.4",41,0.8504,0.3471,0.775,0.5204
"LR=0.001, Opt=Adam, DR=0.4",42,0.852,0.3473,0.773,0.5369
"LR=0.001, Opt=Adam, DR=0.4",43,0.8471,0.3448,0.8035,0.4797
"LR=0.001, Opt=Adam, DR=0.4",44,0.8551,0.341,0.7845,0.5225
"LR=0.001, Opt=Adam, DR=0.4",45,0.8547,0.336,0.7745,0.4849
"LR=0.001, Opt=Adam, DR=0.4",46,0.853,0.3384,0.8005,0.4704
"LR=0.001, Opt=Adam, DR=0.4",47,0.8624,0.3288,0.786,0.488
"LR=0.001, Opt=Adam, DR=0.4",48,0.8587,0.3348,0.7775,0.527
"LR=0.001, Opt=Adam, DR=0.4",49,0.8579,0.3311,0.7805,0.4995
"LR=0.001, Opt=Adam, DR=0.4",50,0.8622,0.3223,0.793,0.5051
"LR=0.001, Opt=Adam, DR=0.5",1,0.5946,0.6745,0.595,0.6751
"LR=0.001, Opt=Adam, DR=0.5",2,0.5949,0.6567,0.595,0.6037
"LR=0.001, Opt=Adam, DR=0.5",3,0.7291,0.5492,0.7425,0.5786
"LR=0.001, Opt=Adam, DR=0.5",4,0.743,0.537,0.765,0.5158
"LR=0.001, Opt=Adam, DR=0.5",5,0.7499,0.5279,0.766,0.4909
"LR=0.001, Opt=Adam, DR=0.5",6,0.7607,0.5145,0.771,0.4947
"LR=0.001, Opt=Adam, DR=0.5",7,0.7574,0.5182,0.773,0.5121
"LR=0.001, Opt=Adam, DR=0.5",8,0.7694,0.5001,0.7715,0.4889
"LR=0.001, Opt=Adam, DR=0.5",9,0.767,0.5036,0.7775,0.4803
"LR=0.001, Opt=Adam, DR=0.5",10,0.7645,0.5037,0.767,0.4876
"LR=0.001, Opt=Adam, DR=0.5",11,0.7749,0.4905,0.7785,0.4805
"LR=0.001, Opt=Adam, DR=0.5",12,0.7757,0.4867,0.7685,0.4906
"LR=0.001, Opt=Adam, DR=0.5",13,0.779,0.4853,0.776,0.4728
"LR=0.001, Opt=Adam, DR=0.5",14,0.7812,0.4785,0.786,0.4866
"LR=0.001, Opt=Adam, DR=0.5",15,0.7824,0.4747,0.79,0.4728
"LR=0.001, Opt=Adam, DR=0.5",16,0.7856,0.4711,0.7575,0.5378
"LR=0.001, Opt=Adam, DR=0.5",17,0.7915,0.4609,0.8015,0.4448
"LR=0.001, Opt=Adam, DR=0.5",18,0.7872,0.4678,0.812,0.4414
"LR=0.001, Opt=Adam, DR=0.5",19,0.7926,0.4587,0.806,0.4518
"LR=0.001, Opt=Adam, DR=0.5",20,0.7909,0.4535,0.763,0.5416
"LR=0.001, Opt=Adam, DR=0.5",21,0.7929,0.456,0.799,0.447
"LR=0.001, Opt=Adam, DR=0.5",22,0.7922,0.4499,0.774,0.4722
"LR=0.001, Opt=Adam, DR=0.5",23,0.7955,0.4496,0.811,0.4349
"LR=0.001, Opt=Adam, DR=0.5",24,0.7976,0.4466,0.7805,0.4763
"LR=0.001, Opt=Adam, DR=0.5",25,0.7994,0.4488,0.7745,0.4786
"LR=0.001, Opt=Adam, DR=0.5",26,0.8004,0.4356,0.783,0.4605
"LR=0.001, Opt=Adam, DR=0.5",27,0.8051,0.4355,0.792,0.4584
"LR=0.001, Opt=Adam, DR=0.5",28,0.798,0.4484,0.778,0.465
"LR=0.001, Opt=Adam, DR=0.5",29,0.8029,0.4355,0.8115,0.4351
"LR=0.001, Opt=Adam, DR=0.5",30,0.8045,0.4387,0.7665,0.4962
"LR=0.001, Opt=Adam, DR=0.5",31,0.8058,0.4287,0.7955,0.4505
"LR=0.001, Opt=Adam, DR=0.5",32,0.8025,0.4346,0.725,0.5346
"LR=0.001, Opt=Adam, DR=0.5",33,0.8076,0.433,0.7825,0.4692
"LR=0.001, Opt=Adam, DR=0.5",34,0.8084,0.4315,0.783,0.4824
"LR=0.001, Opt=Adam, DR=0.5",35,0.8096,0.4228,0.7775,0.4683
"LR=0.001, Opt=Adam, DR=0.5",36,0.808,0.4265,0.785,0.4875
"LR=0.001, Opt=Adam, DR=0.5",37,0.8115,0.4213,0.783,0.4799
"LR=0.001, Opt=Adam, DR=0.5",38,0.8152,0.418,0.7805,0.4831
"LR=0.001, Opt=Adam, DR=0.5",39,0.811,0.4215,0.7825,0.488
"LR=0.001, Opt=Adam, DR=0.5",40,0.8098,0.4229,0.7605,0.5077
"LR=0.001, Opt=Adam, DR=0.5",41,0.8101,0.4242,0.778,0.474
"LR=0.001, Opt=Adam, DR=0.5",42,0.8138,0.4193,0.7875,0.4744
"LR=0.001, Opt=Adam, DR=0.5",43,0.8114,0.414,0.78,0.4898
"LR=0.001, Opt=Adam, DR=0.5",44,0.813,0.4083,0.7805,0.5151
"LR=0.001, Opt=Adam, DR=0.5",45,0.821,0.4042,0.7715,0.4883
"LR=0.001, Opt=Adam, DR=0.5",46,0.8166,0.4154,0.7905,0.4551
"LR=0.001, Opt=Adam, DR=0.5",47,0.8183,0.4081,0.777,0.4945
"LR=0.001, Opt=Adam, DR=0.5",48,0.817,0.4111,0.7635,0.5072
"LR=0.001, Opt=Adam, DR=0.5",49,0.8151,0.4126,0.8015,0.4373
"LR=0.001, Opt=Adam, DR=0.5",50,0.8221,0.4015,0.756,0.5539
